scenario,mode,backend,repetitionCount,successRateMean,successRateMedian,successRateStd,invariantViolationRateMean,invariantViolationRateMedian,invariantViolationRateStd,duplicatePaymentRateMean,duplicatePaymentRateMedian,duplicatePaymentRateStd,duplicateOrderRateMean,duplicateOrderRateMedian,duplicateOrderRateStd,orphanedOrderRateMean,orphanedOrderRateMedian,orphanedOrderRateStd,recoveryRateMean,recoveryRateMedian,recoveryRateStd,compensationRateMean,compensationRateMedian,compensationRateStd,p50LatencyMean,p50LatencyMedian,p50LatencyStd,p95LatencyMean,p95LatencyMedian,p95LatencyStd,p99LatencyMean,p99LatencyMedian,p99LatencyStd,throughputMean,throughputMedian,throughputStd,averageRetryCountMean,averageRetryCountMedian,averageRetryCountStd,recoveryTimeMean,recoveryTimeMedian,recoveryTimeStd
f0-no-failure,baseline,services,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68017489999953,56.64952049999883,0.6284259726545397,93.15252480000069,91.36491699999993,5.417400171116205,121.002599599999,114.86654099999782,15.643359251946997,829.2306172321211,830.733043718334,12.712647062384773,0.0,0.0,0.0,0.0,0.0,0.0
f0-no-failure,resilient,services,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.87831239999912,103.6429585000036,1.575044243630113,169.78029180000078,168.88099999999895,3.5252498612404692,205.91392499999586,204.9435419999952,5.690693286448047,457.87867796969084,458.1932647519625,8.285688980201641,0.0,0.0,0.0,0.0,0.0,0.0
f1-cart-http-500,baseline,services,5,0.95072,0.9507,0.0013255187663703686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.521025000010354,61.59247900001219,0.44841966643745274,99.97493340000005,100.08937500001025,1.535869311944485,124.03315820000103,124.85591699999077,2.4307191869999567,773.6776626694265,775.0751413550568,6.515730708661802,0.0,0.0,0.0,0.0,0.0,0.0
f1-cart-http-500,resilient,services,5,0.95072,0.9507,0.0013255187663703686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26974610000764,110.02841699999522,3.7070141629937683,181.05254160000754,179.4854999999984,6.083660651161158,219.58796659998825,218.26037499999984,9.078541466063454,436.4939237221683,437.86498384602504,14.141878182368494,0.0,0.0,0.0,0.0,0.0,0.0
f10-payment-permanently-fails,baseline,services,5,0.95038,0.9505,0.001616168308066951,0.049620000000000004,0.0495,0.001616168308066955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0486585001072,67.13427099998626,1.6895038221306224,111.8027336000523,111.43870900014008,4.020158879444814,146.19819999988977,140.15191699991192,11.81828012401096,700.6716787728895,695.0658324781275,20.415863025320306,0.0,0.0,0.0,0.0,0.0,0.0
f10-payment-permanently-fails,resilient,services,5,0.95038,0.9505,0.001616168308066951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049620000000000004,0.0495,0.001616168308066955,124.64072919997307,122.97449950006012,6.334926496509317,205.87085799998022,199.94533299995965,15.145529421525014,250.95196699985536,239.05399999966903,21.87648609902999,382.71883315478937,388.0994052201988,19.860185998315256,0.0,0.0,0.0,0.0,0.0,0.0
f11-transient-payment-failure-recovery,baseline,services,5,0.95062,0.9508,0.0022521101216415136,0.04938,0.0492,0.00225211012164148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.01106649992835,74.68895800002429,2.047145067529752,123.71292500010895,121.98591700007455,4.6103930997934475,153.79627519996575,151.33212499995352,6.854644547432647,630.0634192562076,635.3701946316834,16.009375954512393,0.0,0.0,0.0,0.0,0.0,0.0
f11-transient-payment-failure-recovery,resilient,services,5,0.9497599999999999,0.949,0.0023179732526498503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04962,0.0492,0.0021004761364985807,121.87137510004504,122.43120850007472,11.246621912243562,208.91259180007182,197.77925000016694,41.81672749776873,260.7920582000588,241.3902500002223,61.202753132491516,390.0551679341137,389.5080280489077,44.98534717833534,0.0,0.0,0.0,0.0,0.0,0.0
f12-compensation-failure-retry,baseline,services,5,0.95124,0.9519,0.0021078424988599078,0.04876,0.0481,0.0021078424988599125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.64889600006427,63.51054150013624,2.5140003242119833,110.55681660000118,112.31945800000176,12.930194018508748,148.8470332000361,157.88079200001448,26.920733095851137,740.3122218082218,727.3324501006518,44.36312794505967,0.0,0.0,0.0,0.0,0.0,0.0
f12-compensation-failure-retry,resilient,services,5,0.95124,0.9519,0.0021078424988599078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04876,0.0481,0.0021078424988599125,113.483187599968,113.28422900010082,2.004729581277776,190.08650839996335,188.67904199987606,3.149389974465741,245.51469999996698,247.5155829997675,7.751928549560175,416.1110707662601,418.4223253374075,7.7012154300507785,0.04876,0.0481,0.0021078424988599125,0.0,0.0,0.0
