mode,scenario,backend,configuredFailureRate,transactionCount,concurrency,repetitionNumber,randomSeed,runStartedAt,runEndedAt,actualInjectedFailureCount,actualInjectedFailureRate,successRate,failureRate,recoveryRate,compensationRate,duplicateOrderRate,duplicatePaymentRate,orphanedOrderRate,invariantViolationRate,retryCount,averageRetryCount,p50Latency,p95Latency,p99Latency,throughput,recoveryTime,summaryPath
baseline,f0-no-failure,services,0.0,10000,50,1,2026081400,2026-08-14T07:07:30.849429+00:00,2026-08-14T07:07:42.679080+00:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,55.80156250000057,89.55520800000016,115.62249999999975,845.3919780903143,0.0,results/phase_a_services/baseline/f0-no-failure/38131168-fd00-49c1-b1d8-66afbb68a2dd/rep-0001/summary.csv
baseline,f0-no-failure,services,0.0,10000,50,2,2026081401,2026-08-14T07:07:43.011175+00:00,2026-08-14T07:07:55.347729+00:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,56.393895499997626,102.72845800000141,148.8975410000002,810.6575198557387,0.0,results/phase_a_services/baseline/f0-no-failure/5bf82008-254a-4620-bf3f-e1384786f60a/rep-0002/summary.csv
baseline,f0-no-failure,services,0.0,10000,50,3,2026081402,2026-08-14T07:07:55.680840+00:00,2026-08-14T07:08:07.797756+00:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,57.206687499997244,91.67987500000052,112.78124999999761,825.3479146034067,0.0,results/phase_a_services/baseline/f0-no-failure/c3e80d87-97aa-4e8c-9df4-ac70c3470f30/rep-0003/summary.csv
baseline,f0-no-failure,services,0.0,10000,50,4,2026081403,2026-08-14T07:08:08.121324+00:00,2026-08-14T07:08:20.112347+00:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,56.64952049999883,91.36491699999993,112.84516599999961,834.0226298928116,0.0,results/phase_a_services/baseline/f0-no-failure/730706c8-214f-4469-a255-4a2d6b4b5e35/rep-0004/summary.csv
baseline,f0-no-failure,services,0.0,10000,50,5,2026081404,2026-08-14T07:08:20.445611+00:00,2026-08-14T07:08:32.484071+00:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,57.34920850000336,90.43416600000143,114.86654099999782,830.733043718334,0.0,results/phase_a_services/baseline/f0-no-failure/ac2885b5-da5a-497d-8fb6-9fc4f06b4446/rep-0005/summary.csv
resilient,f0-no-failure,services,0.0,10000,50,1,2026081400,2026-08-14T07:08:32.826248+00:00,2026-08-14T07:08:54.272829+00:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,102.43960400000418,165.71145900000772,199.66449999999725,466.29419876903955,0.0,results/phase_a_services/resilient/f0-no-failure/67678f25-1b72-46dc-b37e-b8c76be932ae/rep-0001/summary.csv
resilient,f0-no-failure,services,0.0,10000,50,2,2026081401,2026-08-14T07:08:54.683173+00:00,2026-08-14T07:09:16.157056+00:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,102.31852049999901,167.45629199999712,201.38537500000098,465.7040770446189,0.0,results/phase_a_services/resilient/f0-no-failure/ad73c27c-64c8-4923-9867-23d7b0cdd611/rep-0002/summary.csv
resilient,f0-no-failure,services,0.0,10000,50,3,2026081402,2026-08-14T07:09:16.514572+00:00,2026-08-14T07:09:38.340440+00:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,103.6429585000036,168.88099999999895,204.9435419999952,458.1932647519625,0.0,results/phase_a_services/resilient/f0-no-failure/abc5d120-2c97-42d5-9a78-19f2ed524eb5/rep-0003/summary.csv
resilient,f0-no-failure,services,0.0,10000,50,4,2026081403,2026-08-14T07:09:38.729071+00:00,2026-08-14T07:10:00.890858+00:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.23454149999623,173.00391700001683,211.8862909999848,451.2458169371755,0.0,results/phase_a_services/resilient/f0-no-failure/a47e279c-606f-4107-b6e6-02c7cde270f2/rep-0004/summary.csv
resilient,f0-no-failure,services,0.0,10000,50,5,2026081404,2026-08-14T07:10:01.226677+00:00,2026-08-14T07:10:23.551223+00:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.75593749999257,173.8487909999833,211.68991700000106,447.9560323456577,0.0,results/phase_a_services/resilient/f0-no-failure/ea661c6c-8636-4f7d-bdbe-47d3c47cfab8/rep-0005/summary.csv
