mode,scenario,backend,configuredFailureRate,transactionCount,concurrency,repetitionNumber,randomSeed,runStartedAt,runEndedAt,actualInjectedFailureCount,actualInjectedFailureRate,attemptCount,requestAttemptCount,successRate,attemptSuccessRate,logicalTransactionSuccessRate,logicalTransactionCount,completedLogicalTransactions,terminalFailedLogicalTransactions,nonTerminalLogicalTransactions,failureRate,recoveryRate,recoveryAttempted,recoveryAttemptedRate,recoveryCompleted,recoveryCompletedRate,recoveryFailed,recoveryFailedRate,recoverySuccessRate,nonTerminalAfterRecoveryRate,compensatedTransactions,compensationRate,duplicateOrderCount,duplicateOrderRate,duplicatePaymentCount,duplicatePaymentRate,orphanedOrderCount,orphanedOrderRate,invariantViolationCount,invariantViolationRate,retryCount,averageRetryCount,operationRetryCount,averageOperationRetryCount,compensationRetryCount,averageCompensationRetryCount,totalRetryCount,averageTotalRetryCount,p50Latency,p50LatencyMs,p95Latency,p95LatencyMs,p99Latency,p99LatencyMs,throughput,throughputTransactionsPerSecond,recoveryTime,averageRecoveryTimeMs,p95RecoveryTimeMs,reconciliationWindowMs,summaryPath,phase
baseline,f0-no-failure,services,0.0,10000,50,1,2026081400,2026-08-14T22:12:30.341987+00:00,2026-08-14T22:12:42.691644+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,56.89589599999978,56.89589599999978,90.52783300000122,90.52783300000122,121.1083749999986,121.1083749999986,810.4382447053157,810.4382447053157,NA,NA,NA,2000,results/phase_b1_services/raw/f0-no-failure/rate-0p00/baseline/f0-no-failure/0155c8ce-c1fc-4ad9-9978-fbe60acd0ac8/rep-0001/summary.csv,B1
baseline,f0-no-failure,services,0.0,10000,50,2,2026081401,2026-08-14T22:12:43.088891+00:00,2026-08-14T22:12:54.747008+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,55.31552099999981,55.31552099999981,87.85224999999741,87.85224999999741,109.31104100000155,109.31104100000155,858.6806437494816,858.6806437494816,NA,NA,NA,2000,results/phase_b1_services/raw/f0-no-failure/rate-0p00/baseline/f0-no-failure/8899dc19-8e6e-4ad5-9246-546f12b202a8/rep-0002/summary.csv,B1
baseline,f0-no-failure,services,0.0,10000,50,3,2026081402,2026-08-14T22:12:55.159145+00:00,2026-08-14T22:13:06.793149+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,55.23597950000081,55.23597950000081,86.21154199999737,86.21154199999737,106.92170800000156,106.92170800000156,860.4539238406112,860.4539238406112,NA,NA,NA,2000,results/phase_b1_services/raw/f0-no-failure/rate-0p00/baseline/f0-no-failure/f14eaf7a-11b9-4e61-9ff6-eb37f74097b1/rep-0003/summary.csv,B1
baseline,f0-no-failure,services,0.0,10000,50,4,2026081403,2026-08-14T22:13:07.202955+00:00,2026-08-14T22:13:18.937409+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,56.03585450000281,56.03585450000281,87.45779100000561,87.45779100000561,105.94724999999983,105.94724999999983,853.2070525737644,853.2070525737644,NA,NA,NA,2000,results/phase_b1_services/raw/f0-no-failure/rate-0p00/baseline/f0-no-failure/033f4de3-a093-4980-90ab-43458d03f19e/rep-0004/summary.csv,B1
baseline,f0-no-failure,services,0.0,10000,50,5,2026081404,2026-08-14T22:13:19.332209+00:00,2026-08-14T22:13:31.250980+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,56.35437499999796,56.35437499999796,89.92387500000376,89.92387500000376,114.0300420000031,114.0300420000031,839.8713262301414,839.8713262301414,NA,NA,NA,2000,results/phase_b1_services/raw/f0-no-failure/rate-0p00/baseline/f0-no-failure/ed88da56-00e9-4199-9497-fc48786fe49a/rep-0005/summary.csv,B1
resilient,f0-no-failure,services,0.0,10000,50,1,2026081400,2026-08-14T22:13:31.649816+00:00,2026-08-14T22:13:58.555014+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,99.57410399999844,99.57410399999844,159.79991700000085,159.79991700000085,194.7483750000032,194.7483750000032,479.8249502616456,479.8249502616456,NA,NA,NA,2000,results/phase_b1_services/raw/f0-no-failure/rate-0p00/resilient/f0-no-failure/d5d0b0ad-ad16-4977-9423-15ae40aeaf8f/rep-0001/summary.csv,B1
resilient,f0-no-failure,services,0.0,10000,50,2,2026081401,2026-08-14T22:13:58.939859+00:00,2026-08-14T22:14:25.455650+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,97.85966649999978,97.85966649999978,157.1005420000091,157.1005420000091,190.01624999999933,190.01624999999933,488.0363263006972,488.0363263006972,NA,NA,NA,2000,results/phase_b1_services/raw/f0-no-failure/rate-0p00/resilient/f0-no-failure/c9accbdb-722b-4540-8220-bb8a9512e8af/rep-0002/summary.csv,B1
resilient,f0-no-failure,services,0.0,10000,50,3,2026081402,2026-08-14T22:14:25.853663+00:00,2026-08-14T22:14:52.912530+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,99.14077050000003,99.14077050000003,165.27004200000306,165.27004200000306,210.21637500000168,210.21637500000168,475.3767199150585,475.3767199150585,NA,NA,NA,2000,results/phase_b1_services/raw/f0-no-failure/rate-0p00/resilient/f0-no-failure/b8071f1c-d435-41f7-aaf6-42ebffdfe8dd/rep-0003/summary.csv,B1
resilient,f0-no-failure,services,0.0,10000,50,4,2026081403,2026-08-14T22:14:53.358412+00:00,2026-08-14T22:15:20.263885+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,99.89297899998917,99.89297899998917,160.2969169999824,160.2969169999824,194.89599999999996,194.89599999999996,478.5691232991757,478.5691232991757,NA,NA,NA,2000,results/phase_b1_services/raw/f0-no-failure/rate-0p00/resilient/f0-no-failure/31db085f-0706-4968-84cb-90170dc71384/rep-0004/summary.csv,B1
resilient,f0-no-failure,services,0.0,10000,50,5,2026081404,2026-08-14T22:15:20.676317+00:00,2026-08-14T22:15:47.746160+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100.46900000000392,100.46900000000392,160.15608300000395,160.15608300000395,192.60295800000904,192.60295800000904,475.33321838983915,475.33321838983915,NA,NA,NA,2000,results/phase_b1_services/raw/f0-no-failure/rate-0p00/resilient/f0-no-failure/645016b0-0297-4bf9-9f2f-09c4bd6bb736/rep-0005/summary.csv,B1
