scenario,configuredFailureRate,concurrency,mode,backend,n,attemptSuccessRateMean,attemptSuccessRateMedian,attemptSuccessRateStd,attemptSuccessRateMin,attemptSuccessRateMax,attemptSuccessRateCi95Low,attemptSuccessRateCi95High,attemptSuccessRateN,logicalTransactionSuccessRateMean,logicalTransactionSuccessRateMedian,logicalTransactionSuccessRateStd,logicalTransactionSuccessRateMin,logicalTransactionSuccessRateMax,logicalTransactionSuccessRateCi95Low,logicalTransactionSuccessRateCi95High,logicalTransactionSuccessRateN,terminalFailedLogicalTransactionsMean,terminalFailedLogicalTransactionsMedian,terminalFailedLogicalTransactionsStd,terminalFailedLogicalTransactionsMin,terminalFailedLogicalTransactionsMax,terminalFailedLogicalTransactionsCi95Low,terminalFailedLogicalTransactionsCi95High,terminalFailedLogicalTransactionsN,nonTerminalLogicalTransactionsMean,nonTerminalLogicalTransactionsMedian,nonTerminalLogicalTransactionsStd,nonTerminalLogicalTransactionsMin,nonTerminalLogicalTransactionsMax,nonTerminalLogicalTransactionsCi95Low,nonTerminalLogicalTransactionsCi95High,nonTerminalLogicalTransactionsN,invariantViolationRateMean,invariantViolationRateMedian,invariantViolationRateStd,invariantViolationRateMin,invariantViolationRateMax,invariantViolationRateCi95Low,invariantViolationRateCi95High,invariantViolationRateN,duplicateOrderRateMean,duplicateOrderRateMedian,duplicateOrderRateStd,duplicateOrderRateMin,duplicateOrderRateMax,duplicateOrderRateCi95Low,duplicateOrderRateCi95High,duplicateOrderRateN,duplicatePaymentRateMean,duplicatePaymentRateMedian,duplicatePaymentRateStd,duplicatePaymentRateMin,duplicatePaymentRateMax,duplicatePaymentRateCi95Low,duplicatePaymentRateCi95High,duplicatePaymentRateN,orphanedOrderRateMean,orphanedOrderRateMedian,orphanedOrderRateStd,orphanedOrderRateMin,orphanedOrderRateMax,orphanedOrderRateCi95Low,orphanedOrderRateCi95High,orphanedOrderRateN,recoveryAttemptedRateMean,recoveryAttemptedRateMedian,recoveryAttemptedRateStd,recoveryAttemptedRateMin,recoveryAttemptedRateMax,recoveryAttemptedRateCi95Low,recoveryAttemptedRateCi95High,recoveryAttemptedRateN,recoveryCompletedRateMean,recoveryCompletedRateMedian,recoveryCompletedRateStd,recoveryCompletedRateMin,recoveryCompletedRateMax,recoveryCompletedRateCi95Low,recoveryCompletedRateCi95High,recoveryCompletedRateN,recoveryFailedRateMean,recoveryFailedRateMedian,recoveryFailedRateStd,recoveryFailedRateMin,recoveryFailedRateMax,recoveryFailedRateCi95Low,recoveryFailedRateCi95High,recoveryFailedRateN,recoverySuccessRateMean,recoverySuccessRateMedian,recoverySuccessRateStd,recoverySuccessRateMin,recoverySuccessRateMax,recoverySuccessRateCi95Low,recoverySuccessRateCi95High,recoverySuccessRateN,nonTerminalAfterRecoveryRateMean,nonTerminalAfterRecoveryRateMedian,nonTerminalAfterRecoveryRateStd,nonTerminalAfterRecoveryRateMin,nonTerminalAfterRecoveryRateMax,nonTerminalAfterRecoveryRateCi95Low,nonTerminalAfterRecoveryRateCi95High,nonTerminalAfterRecoveryRateN,operationRetryCountMean,operationRetryCountMedian,operationRetryCountStd,operationRetryCountMin,operationRetryCountMax,operationRetryCountCi95Low,operationRetryCountCi95High,operationRetryCountN,averageOperationRetryCountMean,averageOperationRetryCountMedian,averageOperationRetryCountStd,averageOperationRetryCountMin,averageOperationRetryCountMax,averageOperationRetryCountCi95Low,averageOperationRetryCountCi95High,averageOperationRetryCountN,compensationRetryCountMean,compensationRetryCountMedian,compensationRetryCountStd,compensationRetryCountMin,compensationRetryCountMax,compensationRetryCountCi95Low,compensationRetryCountCi95High,compensationRetryCountN,averageCompensationRetryCountMean,averageCompensationRetryCountMedian,averageCompensationRetryCountStd,averageCompensationRetryCountMin,averageCompensationRetryCountMax,averageCompensationRetryCountCi95Low,averageCompensationRetryCountCi95High,averageCompensationRetryCountN,totalRetryCountMean,totalRetryCountMedian,totalRetryCountStd,totalRetryCountMin,totalRetryCountMax,totalRetryCountCi95Low,totalRetryCountCi95High,totalRetryCountN,averageTotalRetryCountMean,averageTotalRetryCountMedian,averageTotalRetryCountStd,averageTotalRetryCountMin,averageTotalRetryCountMax,averageTotalRetryCountCi95Low,averageTotalRetryCountCi95High,averageTotalRetryCountN,compensationRateMean,compensationRateMedian,compensationRateStd,compensationRateMin,compensationRateMax,compensationRateCi95Low,compensationRateCi95High,compensationRateN,p50LatencyMsMean,p50LatencyMsMedian,p50LatencyMsStd,p50LatencyMsMin,p50LatencyMsMax,p50LatencyMsCi95Low,p50LatencyMsCi95High,p50LatencyMsN,p95LatencyMsMean,p95LatencyMsMedian,p95LatencyMsStd,p95LatencyMsMin,p95LatencyMsMax,p95LatencyMsCi95Low,p95LatencyMsCi95High,p95LatencyMsN,p99LatencyMsMean,p99LatencyMsMedian,p99LatencyMsStd,p99LatencyMsMin,p99LatencyMsMax,p99LatencyMsCi95Low,p99LatencyMsCi95High,p99LatencyMsN,throughputTransactionsPerSecondMean,throughputTransactionsPerSecondMedian,throughputTransactionsPerSecondStd,throughputTransactionsPerSecondMin,throughputTransactionsPerSecondMax,throughputTransactionsPerSecondCi95Low,throughputTransactionsPerSecondCi95High,throughputTransactionsPerSecondN,averageRecoveryTimeMsMean,averageRecoveryTimeMsMedian,averageRecoveryTimeMsStd,averageRecoveryTimeMsMin,averageRecoveryTimeMsMax,averageRecoveryTimeMsCi95Low,averageRecoveryTimeMsCi95High,averageRecoveryTimeMsN,p95RecoveryTimeMsMean,p95RecoveryTimeMsMedian,p95RecoveryTimeMsStd,p95RecoveryTimeMsMin,p95RecoveryTimeMsMax,p95RecoveryTimeMsCi95Low,p95RecoveryTimeMsCi95High,p95RecoveryTimeMsN,actualInjectedFailureRateMean,actualInjectedFailureRateMedian,actualInjectedFailureRateStd,actualInjectedFailureRateMin,actualInjectedFailureRateMax,actualInjectedFailureRateCi95Low,actualInjectedFailureRateCi95High,actualInjectedFailureRateN
f0-no-failure,0.0,1,baseline,services,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,9.489745999997723,9.5500004999991,0.3484537544290067,8.91972899999871,9.824083499978542,9.184312817485758,9.795179182509688,5,11.660599999999022,11.139749999983906,0.9794276685017773,11.040374999993219,13.365125000007083,10.802093796439893,12.51910620355815,5,16.16754999998591,15.914584000000787,1.2955709739816863,14.53404100000455,18.039582999961112,15.031931971126433,17.303168028845384,5,102.62086867262941,102.99274419363486,3.915773891317064,97.33727326883483,107.87589416676828,99.18854152327191,106.05319582198692,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
f0-no-failure,0.0,1,resilient,services,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,14.045674900000904,14.060687499977575,0.07811681333994085,13.926395999988017,14.143707999949129,13.977202494113905,14.114147305887903,5,16.01944979995551,16.28058299991153,0.449156807157284,15.489458000047307,16.417374999946333,15.625746499838213,16.413153100072808,5,19.60475859998496,19.174249999991844,1.164272354825698,18.587167000077898,21.40495900005135,18.58422888513707,20.625288314832854,5,70.58771692718129,70.25521149940688,0.605052535672454,70.04873659236205,71.39448366471188,70.05736499609017,71.11806885827241,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
f0-no-failure,0.0,10,baseline,services,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,14.6806376999848,14.669416500055377,0.5282461417250368,13.946729499934918,15.391853999972227,14.217609541539126,15.143665858430474,5,19.250866799939104,19.213083999829905,0.7928508715748568,18.220165999991877,20.417833999999857,18.55590236955346,19.945831230324746,5,25.507133199880627,26.72445799998968,2.224631896105533,22.349749999875712,27.405624999801148,23.55715736719499,27.457109032566265,5,669.6551543604837,668.2162899564289,23.935196671732,639.0598509346594,703.8199803037702,648.6750294498585,690.635279271109,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
f0-no-failure,0.0,10,resilient,services,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29.989762599961978,30.38629149989447,1.772778606137733,27.373520499963888,32.13364650002859,28.435853638788508,31.543671561135447,5,37.641108400066514,37.59141700015789,1.604022377169842,35.32133400017301,39.53108299992891,36.23512079553574,39.047096004597286,5,42.649458200048684,42.911957999876904,1.5553869922092536,40.363291000176105,44.506082999987484,41.286101390056345,44.012815010041024,5,338.27618977441733,333.72592294698785,15.91188705823771,319.5311936384681,359.84356664564723,324.32880581831,352.22357373052466,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
f0-no-failure,0.0,100,baseline,services,5,0.99996,1.0,5.4772255750510576e-05,0.9999,1.0,0.9999119900010414,1.0000080099989586,5,0.99996,1.0,5.4772255750510576e-05,0.9999,1.0,0.9999119900010414,1.0000080099989586,5,0.4,0.0,0.5477225575051661,0.0,1.0,-0.08009998958550285,0.8800999895855028,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4e-05,0.0,5.4772255750516614e-05,0.0,0.0001,-8.009998958550284e-06,8.80099989585503e-05,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,145.32672520001597,146.34666699998888,2.161955471105098,142.47120900006394,147.18435400016006,143.4316876761103,147.22176272392164,5,274.7383504000027,275.08754199993746,3.8098634393909427,269.2962090000037,279.990208000072,271.3988578548987,278.0778429451066,5,363.5849166000298,363.7083749999874,1.2663782383776048,361.7362080001385,364.8016249999273,362.47488713214426,364.6949460679154,5,624.6116569735809,617.6623037029092,11.170966605233247,616.6605968548276,642.1397346126314,614.8198730177378,634.403440929424,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
f0-no-failure,0.0,100,resilient,services,5,0.99546,0.9944,0.0025686572367678855,0.9938,1.0,0.9932084726606146,0.9977115273393854,5,0.99546,0.9944,0.0025686572367678855,0.9938,1.0,0.9932084726606146,0.9977115273393854,5,45.0,55.0,25.42636427018224,0.0,61.0,22.71280905991067,67.28719094008933,5,0.4,0.0,0.5477225575051661,0.0,1.0,-0.08009998958550285,0.8800999895855028,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0012799999999999999,0.0012,0.0008228000972289684,0.0,0.0021,0.0005587839158754153,0.0020012160841245846,5,317.71347499995954,343.0396669999709,45.80419108483669,247.07845849991372,356.1224789999642,277.56433131128637,357.8626186886327,5,605.5133081999429,632.8912499998296,92.2237678760355,443.57495799999924,674.6356659998582,524.675611468048,686.3510049318378,5,772.6768248000099,804.6694160000243,125.64303340367069,556.9723329999761,886.6692080000576,662.5458502727752,882.8077993272445,5,297.01779987469786,271.7413472608187,47.967453160234726,264.66303398921934,379.53283237245284,254.97247337295966,339.06312637643606,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
f5-payment-succeeds-response-lost,0.05,1,baseline,services,5,0.94886,0.9493,0.0026387497039317455,0.9451,0.9518,0.9465470339042693,0.9511729660957308,5,0.94886,0.9493,0.0026387497039317455,0.9451,0.9518,0.9465470339042693,0.9511729660957308,5,511.4,507.0,26.387497039317694,482.0,549.0,488.27033904269234,534.5296609573076,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.05114,0.0507,0.002638749703931768,0.0482,0.0549,0.048827033904269235,0.05345296609573076,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10.918874899925868,11.00868749995243,0.17287873905067874,10.6693954999173,11.084124500030157,10.767340003872215,11.07040979597952,5,319.6214668000721,513.7691670001914,270.0366633355,23.81120900008682,518.7159580000298,82.92389523099408,556.3190383691501,5,528.8769499999944,529.3559169999753,2.031410321605773,526.0288750000655,530.7357500000762,527.0963403448268,530.657559655162,5,26.376797322964087,26.60882796790241,0.8133739141524667,25.379951191140858,27.375532510697674,25.66384365260145,27.089750993326724,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.05114,0.0507,0.002638749703931768,0.0482,0.0549,0.048827033904269235,0.05345296609573076,5
f5-payment-succeeds-response-lost,0.05,1,resilient,services,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,14.594158299769333,14.681874999951106,0.18889751998220192,14.34383349987911,14.764687499791762,14.428582323148492,14.759734276390175,5,928.2838998002262,1527.9218340001535,824.6637387811527,24.529916000574303,1533.4884579997379,205.43426183066174,1651.1335377697906,5,1552.5523918001454,1551.4214579998225,3.844949190988898,1549.6158340001784,1559.2246670003078,1549.1821452378006,1555.9226383624903,5,10.725722314963095,10.720052313737106,0.4788483524812444,10.07753053598687,11.286661736209815,10.305993227874852,11.145451402051338,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.05114,0.0507,0.002638749703931768,0.0482,0.0549,0.048827033904269235,0.05345296609573076,5
f5-payment-succeeds-response-lost,0.05,10,baseline,services,5,0.9511,0.9511,0.0023801260470823716,0.9473,0.9536,0.9490137275345727,0.9531862724654272,5,0.9511,0.9511,0.0023801260470823716,0.9473,0.9536,0.9490137275345727,0.9531862724654272,5,489.0,489.0,23.80126047082381,464.0,527.0,468.13727534572723,509.86272465427277,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0489,0.0489,0.0023801260470823803,0.0464,0.0527,0.046813727534572726,0.05098627246542727,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10.366779099967971,10.381583499111002,0.03436924490504439,10.328583000955405,10.402938000879658,10.336653128534309,10.396905071401633,5,125.50671660064836,29.554083001130493,214.09779065363918,28.694750000795466,508.49079200088454,-62.158271183101704,313.1717043843984,5,511.5209251998749,511.480749999464,0.14759956443350605,511.37595900036104,511.76762499926554,511.39154847734204,511.6503019224078,5,283.09580632705513,283.50655502857734,8.987133579983695,268.52950356670635,292.07309139334507,275.218236416831,290.97337623727924,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0489,0.0489,0.0023801260470823803,0.0464,0.0527,0.046813727534572726,0.05098627246542727,5
f5-payment-succeeds-response-lost,0.05,10,resilient,services,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,14.821383299931767,14.79329149969999,0.12647965075919435,14.66864599933615,14.987437500167289,14.710518997959515,14.93224760190402,5,328.6031002007803,32.71120800127392,665.0927212424895,25.859708999632858,1518.3443750011065,-254.37637392632132,911.582574327882,5,1525.9206165996147,1526.2177080003312,0.7741302461237846,1524.842416998581,1526.5799999997398,1525.2420615209364,1526.599171678293,5,111.68893492977855,111.82819423778733,4.44199426322058,104.47824614570811,116.08920087407877,107.79535528751423,115.58251457204288,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0489,0.0489,0.0023801260470823803,0.0464,0.0527,0.046813727534572726,0.05098627246542727,5
