scenario,configuredFailureRate,concurrency,metric,baselineMean,resilientMean,deltaResilientMinusBaseline,pairedBy
f0-no-failure,0.0,1,attemptSuccessRate,1.0,1.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,logicalTransactionSuccessRate,1.0,1.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,terminalFailedLogicalTransactions,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,nonTerminalLogicalTransactions,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,invariantViolationRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,duplicateOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,duplicatePaymentRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,orphanedOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,recoveryAttemptedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,recoveryCompletedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,recoveryFailedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,recoverySuccessRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,nonTerminalAfterRecoveryRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,operationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,averageOperationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,compensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,averageCompensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,totalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,averageTotalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,compensationRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,p50LatencyMs,9.489745999997723,14.045674900000904,4.555928900003181,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,p95LatencyMs,11.660599999999022,16.01944979995551,4.358849799956488,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,p99LatencyMs,16.16754999998591,19.60475859998496,3.437208599999053,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,throughputTransactionsPerSecond,102.62086867262941,70.58771692718129,-32.03315174544812,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,averageRecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,p95RecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,1,actualInjectedFailureRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,attemptSuccessRate,1.0,1.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,logicalTransactionSuccessRate,1.0,1.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,terminalFailedLogicalTransactions,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,nonTerminalLogicalTransactions,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,invariantViolationRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,duplicateOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,duplicatePaymentRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,orphanedOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,recoveryAttemptedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
